IMDB,Title,Year,Date,fulldate,month,justmonth,original,Type,status,season_number,Released,popular,popularity,imdbRating,imdbVotes,Rated,genretext,Genre,Runtime,number_of_episodes,Language,Country,budget,boxoffice,Plot,overview,stars,Actors,cast1,cast2,cast3,char1,char2,char3,directed_created,producedby,Director,created_by,production_companies,homepage,tmdb,poster_path,backdrop_path,poster,backdrop,netflix,IDs
tt21217912,Clusterf**k: Woodstock '99,2022,8/3/2022,"August 3, 2022",August 2022,August,Netflix Original,series,Returning Series,1,8/2/2022,,7.973,N/A,N/A,Not Rated,Documentary,Documentary,N/A,3,English,United States,Not available,Not Available,No plot has been announced.,"Woodstock 1969 promised peace and music, but its '99 revival delivered days of rage, riots and real harm. Why did it go so horribly wrong?,",,,,,,,,,.,"Clusterf**k: Woodstock '99 was produced by RAW, and BBH entertainment and was initially released on [datecalc date=""8/2/2022"" display=""mmmm d, yyyy""].",,,"RAW, BBH entertainment",https://www.netflix.com/title/81280924,206246,/pqRgSf9q9FBjcLivFthD9LPOq5X.jpg,/2K1qU488CD5beY0dPa3l0AJRqMi.jpg,tt21217912-poster.jpg,tt21217912-fanart.jpg,https://www.netflix.com/title/81280924,1829
tt21226774,¿Qué culpa tiene el Karma?,2022,8/3/2022,"August 3, 2022",August 2022,August,Netflix Original,movie,Post Production,,8/3/2022,,27.094,N/A,N/A,Not Rated,Comedy,Comedy,N/A,,Spanish,Mexico,Not available,Not Available,No plot has been announced.,"The travails of Sara, a frustrated fashion designer who blames karma for her bad luck. Fate will put her face to face with her sister, Lucy, who enjoys very different luck, and in a series of events and reunions that will lead her to make a radical decision.","Gil Cerezo, Miriam Chi Chim and Aislinn Derbez","Gil Cerezo, Miriam Chi Chim, Aislinn Derbez",,,,,,, directed by Elisa Miller.,"¿Qué culpa tiene el Karma? was produced by Perro Azul and was initially released on [datecalc date=""8/3/2022"" display=""mmmm d, yyyy""].",Elisa Miller,,Perro Azul,https://www.netflix.com/title/81380249,648743,/7BtnZMhU4V8Mq33609UpWvLSHE3.jpg,/darIboeiaqC6AGCYZMZGXPEkOWJ.jpg,tt21226774-poster.jpg,tt21226774-fanart.jpg,https://www.netflix.com/title/81380249,1830
tt15912380,Kakegurui Twin,2022,8/4/2022,"August 4, 2022",August 2022,August,,series,,,8/4/2022,,,N/A,N/A,TV-14,Animation,"Animation, Drama, Mystery",N/A,,Japanese,Japan,Not available,Not Available,"A year before Yumeko Jabami graced the hallowed halls of Hyakkou Private Academy, Mary Saotome got her own start at the gambling-addicted school. Can this normal girl achieve her own rags-to-riches story through wits and luck?",,"Aoi Koga, Rie Takahashi and Yuko Kaida","Aoi Koga, Rie Takahashi, Yuko Kaida",,,,,,,.,,,,,#,,,,poster-coming-soon.jpg,fanart-placeholder.jpg,https://www.netflix.com/search?q=Kakegurui Twin,1833
tt11426572,Wedding Season,2022,8/4/2022,"August 4, 2022",August 2022,August,,movie,In Production,,8/4/2022,,7.438,N/A,N/A,Not Rated,Comedy,"Comedy, Romance",98,,English,United States,Not available,Not Available,"Pressured by their parents to find spouses, Asha and Ravi pretend to date during a summer of weddings, only to find themselves falling for each other.","Pressured by their immigrant parents to find spouses, two Indian-Americans pretend to date in order to survive a summer of weddings – but find themselves falling for each other as they struggle to balance who they are with who their parents want them to be.","Pallavi Sharda, Suraj Sharma and Arianna Afsar","Pallavi Sharda, Suraj Sharma, Arianna Afsar",Suraj Sharma,Pallavi Sharda,Arianna Afsar,Ravi,Asha,, directed by Tom Dey.,,Tom Dey,,,http://www.netflix.com/WeddingSeason,818612,/viQGftnOb8vHZTF14gSEiJ6T3O5.jpg,/7ZMNdClJm3XYh378UXHZ9Geanoq.jpg,tt11426572-poster.jpg,tt11426572-fanart.jpg,https://www.netflix.com/search?q=Wedding Season,1835
tt14906890,Super Giant Robot Brothers,2022,8/4/2022,"August 4, 2022",August 2022,August,Netflix Original,series,Returning Series,1,8/4/2022,,7.595,N/A,N/A,TV-Y7,Animation,"Animation, Action, Adventure",N/A,10,English,United States,Not available,Not Available,Two giant robots discover they are brothers while fighting against intergalactic evil to defend Earth.,"Two squabbling robot brothers battle bloodthirsty kaijus, supernatural disasters and mundane personal issues as they adapt to the trials of growing up.","Ren Hanami, Jared Farid Ward and Eva Ariel Binder","Ren Hanami, Jared Farid Ward, Eva Ariel Binder",Jared Farid Ward,Eva Ariel Binder,Ren Hanami,The Big One (voice),Young Alex (voice),Dr. Magita Rose (voice)," created by Víctor Maldonado, Alfredo Torres Martínez.","Super Giant Robot Brothers was produced by Reel FX Creative Studios and was initially released on [datecalc date=""8/4/2022"" display=""mmmm d, yyyy""].",,"Víctor Maldonado, Alfredo Torres Martínez",Reel FX Creative Studios,https://www.netflix.com/title/80211128,158138,/wAVvNhiKxElzHqLegxvRI8yJg2Z.jpg,/umEbsUumuh1r0iSPA9X3LQ0PjHQ.jpg,tt14906890-poster.jpg,tt14906890-fanart.jpg,https://www.netflix.com/title/80211128,1834
tt21264856,Tamara Falcó: La Marquesa,2022,8/4/2022,"August 4, 2022",August 2022,August,Netflix Original,series,Returning Series,1,8/4/2022,,4.689,N/A,N/A,Not Rated,Biography,Biography,N/A,3,Spanish,Spain,Not available,Not Available,No plot has been announced.,"The glamorous life of socialite Tamara Falcó takes center stage in this reality series as she balances work, play and her famous family.","Ana Boyer, Tamara Falcó and Isabel Preysler","Ana Boyer, Tamara Falcó, Isabel Preysler",Tamara Falcó,Isabel Preysler,Ana Boyer,Self,Self,Self,.,,,,,https://www.netflix.com/title/81505899,205902,null,/d1W4RAgvrBfw2kpjp8HVSCa457G.jpg,poster-coming-soon.jpg,tt21264856-fanart.jpg,https://www.netflix.com/title/81505899,1832
tt1074638,Skyfall,2012,8/5/2022,"August 5, 2022",August 2022,August,,movie,Released,,11/9/2012,Popular,53.957,7.8,"688,226",PG-13,Action,"Action, Adventure, Thriller",143,,"English, Turkish, Shanghainese, Portuguese, Japanese","United Kingdom, United States, Turkey",200000000,Not Available,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.","When Bond's latest assignment goes gravely wrong, agents around the world are exposed and MI6 headquarters is attacked. While M faces challenges to her authority and position from Gareth Mallory, the new Chairman of the Intelligence and Security Committee, it's up to Bond, aided only by field agent Eve, to locate the mastermind behind the attack.","Daniel Craig, Javier Bardem and Naomie Harris","Daniel Craig, Javier Bardem, Naomie Harris",Daniel Craig,Judi Dench,Javier Bardem,James Bond,M,Silva, directed by Sam Mendes.,"Skyfall was produced by Columbia Pictures, Metro-Goldwyn-Mayer, Eon Productions, Danjaq, and B23, with a budget of [morph money=""200000000"" display=""usd abbr""] and was initially released on [datecalc date=""11/9/2012"" display=""mmmm d, yyyy""].",Sam Mendes,,"Columbia Pictures, Metro-Goldwyn-Mayer, Eon Productions, Danjaq, B23",https://www.mgm.com/movies/skyfall,37724,/izrHg2UzxG3YXTBcKFaUbYp9LWA.jpg,/dOSECZImeyZldoq0ObieBE0lwie.jpg,tt1074638-poster.jpg,tt1074638-fanart.jpg,https://www.netflix.com/search?q=Skyfall,1841
tt14152140,Darlings,2022,8/5/2022,"August 5, 2022",August 2022,August,Netflix Original,movie,Post Production,,8/5/2022,,5.758,N/A,N/A,Not Rated,Comedy,"Comedy, Drama",133,,Hindi,India,Not available,Not Available,It follows the lives of two women as they find courage and love in exceptional circumstances.,"Badru hopes her volatile husband will reform if he stops drinking. But when his rage goes too far, she and her mom boldly, albeit clumsily, seek revenge.","Alia Bhatt, Vijay Varma and Shefali Shah","Alia Bhatt, Vijay Varma, Shefali Shah",Alia Bhatt,Shefali Shah,Vijay Varma,Badrunissa Shaikh,Shamsunissa,Hamza Shaikh, directed by Jasmeet K Reen.,"Darlings was produced by Red Chillies Entertainment, and Eternal Sunshine Productions and was initially released on [datecalc date=""8/5/2022"" display=""mmmm d, yyyy""].",Jasmeet K Reen,,"Red Chillies Entertainment, Eternal Sunshine Productions",https://www.netflix.com/in/title/81537953,801526,/lBdzLLrz5AIX1OupDqWeYc0YGJw.jpg,/bc1ltLzHzQut2wiUqFXFWk3JdPA.jpg,tt14152140-poster.jpg,tt14152140-fanart.jpg,https://www.netflix.com/search?q=Darlings,1837
tt1751634,The Sandman,2022,8/5/2022,"August 5, 2022",August 2022,August,,series,Returning Series,1,8/5/2022,,32.078,N/A,N/A,TV-MA,Drama,"Drama, Fantasy, Horror",N/A,10,English,"United States, United Kingdom",Not available,Not Available,"Upon escaping after decades of imprisonment by a mortal wizard, Dream, the personification of dreams, sets about to reclaim his lost equipment.","The story of Dream, who wakes from a captive slumber of 105 years and sets out to restore the kingdom of the Dreaming, which has fallen into chaos in his absence.","Gwendoline Christie, Jenna Coleman and Joely Richardson","Gwendoline Christie, Jenna Coleman, Joely Richardson",Tom Sturridge,Gwendoline Christie,Vivienne Acheampong,Morpheus / Dream,Lucifer,Lucienne, created by Allan Heinberg.,"The Sandman was produced by Warner Bros. Television, and DC Entertainment and was initially released on [datecalc date=""8/5/2022"" display=""mmmm d, yyyy""].",,Allan Heinberg,"Warner Bros. Television, DC Entertainment",https://thesandman.com,90802,/q54qEgagGOYCq5D1903eBVMNkbo.jpg,/6KyJeOW7vTW0czdR0S6wzXAcfmw.jpg,tt1751634-poster.jpg,tt1751634-fanart.jpg,https://www.netflix.com/search?q=The Sandman,1840
tt1833116,The Informer,2019,8/5/2022,"August 5, 2022",August 2022,August,,movie,Released,,8/30/2019,,17.137,6.6,"34,915",R,Crime,"Crime, Drama, Thriller",113,,"English, Polish, Spanish","United Kingdom, Canada, United States",Not available,Not Available,An ex-convict working undercover intentionally gets himself incarcerated again in order to infiltrate the mob at a maximum security prison.,"In New York, former convict Pete Koslow, related to the Polish mafia, must deal with both Klimek the General, his ruthless boss, and the twisted ambitions of two federal agents, as he tries to survive and protect the lives of his loved ones.","Joel Kinnaman, Rosamund Pike and Common","Joel Kinnaman, Rosamund Pike, Common",Joel Kinnaman,Rosamund Pike,Common,Pete Koslow,Wilcox,Grens, directed by Andrea Di Stefano.,"The Informer was produced by Thunder Road, The Fyzz, and Maddem Films and was initially released on [datecalc date=""8/30/2019"" display=""mmmm d, yyyy""].",Andrea Di Stefano,,"Thunder Road, The Fyzz, Maddem Films",http://aviron.com/films/the-informer.php,466081,/pbGveUC8mk0QRkdXpERPLbMFnrg.jpg,/98sIdYdvnh68Va1JLjcyAuFGZO5.jpg,tt1833116-poster.jpg,tt1833116-fanart.jpg,https://www.netflix.com/search?q=The Informer,1838
tt21237030,Carter,2022,8/5/2022,"August 5, 2022",August 2022,August,Netflix Original,movie,In Production,,8/5/2022,,15.263,N/A,N/A,Not Rated,N/A,N/A,132,,"Korean, English",South Korea,Not available,Not Available,"Thrown straight into a dangerous mission with none of his memories intact, a man must escape death while trying to figure out who he is, how he ended up here, and who is the mysterious voice in his ear calling him 'Carter'?","A man wakes up missing his memories. Directed by a mysterious voice from a device in his ear, he sets off on a hostage rescue mission rife with danger.","Joo Won, Sung-Jae Lee and Jeong Sori","Joo Won, Sung-Jae Lee, Jeong Sori",Joo Won,Lee Sung-jae,Jeong So-ri,Agent Carter,Kim Jong-hyeok,, directed by Byung-gil Jung.,"Carter was produced by Apeitda and was initially released on [datecalc date=""8/5/2022"" display=""mmmm d, yyyy""].",Byung-gil Jung,,Apeitda,https://www.netflix.com/title/81399639,800345,/uzAh3Ub2YttCz13cnyB9PvhpmIL.jpg,/qolsXgsPRZUq3boTvXSmSMZsaPd.jpg,tt21237030-poster.jpg,tt21237030-fanart.jpg,https://www.netflix.com/title/81399639,1836
tt9784708,Rise of the Teenage Mutant Ninja Turtles: The Movie,2022,8/5/2022,"August 5, 2022",August 2022,August,,movie,In Production,,8/5/2022,,10.937,N/A,N/A,TV-Y7,Animation,"Animation, Action, Adventure",82,,English,"United States, Belgium",Not available,Not Available,"When a mysterious stranger arrives from the future with a dire warning, Leo is forced to rise and lead his brothers, Raph, Donnie, and Mikey in a fight to save the world from a terrifying alien species.","When a mysterious stranger arrives from the future with a dire warning, Leo is forced to rise and lead his brothers, Raph, Donnie, and Mikey in a fight to save the world from a terrifying alien species.","Ben Schwartz, Omar Benson Miller and Brandon Mychal Smith","Ben Schwartz, Omar Benson Miller, Brandon Mychal Smith",Omar Benson Miller,Ben Schwartz,Josh Brener,Raphael (voice),Leonardo (voice),Donatello (voice)," directed by Andy Suriano, Ant Ward.","Rise of the Teenage Mutant Ninja Turtles: The Movie was produced by Paramount, Nickelodeon Movies, and Nickelodeon Animation Studio and was initially released on [datecalc date=""8/5/2022"" display=""mmmm d, yyyy""].","Andy Suriano, Ant Ward",,"Paramount, Nickelodeon Movies, Nickelodeon Animation Studio",http://www.netflix.com/teenagemutantninjaturtles,765172,/4PASAPJSoUsY6I69gaED4k642Gb.jpg,/lQDrmSgUHuJHal9bCn5fphgyYR4.jpg,tt9784708-poster.jpg,tt9784708-fanart.jpg,https://www.netflix.com/search?q=Rise of the Teenage Mutant Ninja Turtles: The Movie,1839
tt13298522,Reclaim,2022,8/6/2022,"August 6, 2022",August 2022,August,,movie,Released,,5/6/2022,,2.05,N/A,8,Not Rated,Drama,Drama,124,,Mandarin,Taiwan,Not available,Not Available,"She is a good woman living a fulfilling life. Or so it seems. A caring mother, a capable housewife and a successful career woman, she looks after her mother with dementia on her own. What she needs is a little more space but someh...","She is a good woman living a fulfilling life. Or so it seems. A caring mother, a capable housewife and a successful career woman, she looks after her mother with dementia on her own. What she needs is a little more space but somehow, she just can't find any. She decides to buy a house since she believes that a bigger place will make her family happy.","Hee Ching Paw, Hsi-Shun Kou and Chia-An Yu","Hee Ching Paw, Hsi-Shun Kou, Chia-An Yu",Pau Hei-Ching,Johnny Kou Hsi-Shun,Ko Chia-yen,,,, directed by Cj Wang.,,Cj Wang,,,#,769802,/5jF5nRxd7IZ4LspB9WudyYJBCVs.jpg,/cBCmAnyNBn6ealtjep7WFnj7xHv.jpg,tt13298522-poster.jpg,tt13298522-fanart.jpg,https://www.netflix.com/search?q=Reclaim,1842
tt5420376,Riverdale,2017,8/7/2022,"August 7, 2022",August 2022,August,,series,Returning Series,6,1/26/2017,Popular,350.55,6.6,"140,355",TV-14,Crime,"Crime, Drama, Mystery",45,117,English,United States,Not available,Not Available,"While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.","Set in the present, the series offers a bold, subversive take on Archie, Betty, Veronica and their friends, exploring the surreality of small-town life, the darkness and weirdness bubbling beneath Riverdale’s wholesome facade.","Lili Reinhart, Camila Mendes and Cole Sprouse","Lili Reinhart, Camila Mendes, Cole Sprouse",K.J. Apa,Lili Reinhart,Camila Mendes,Archie Andrews,Betty Cooper,Veronica Lodge, created by Roberto Aguirre-Sacasa.,"Riverdale was produced by CBS Studios, Warner Bros. Television, Berlanti Productions, and Archie Comics and was initially released on [datecalc date=""1/26/2017"" display=""mmmm d, yyyy""].",,Roberto Aguirre-Sacasa,"CBS Studios, Warner Bros. Television, Berlanti Productions, Archie Comics",http://www.cwtv.com/shows/riverdale/,69050,/7o73cSQ2JHi4pkV25E7Mba4mdwu.jpg,/rpB9xThPAHPpBHwNe5g7th6WsAW.jpg,tt5420376-poster.jpg,tt5420376-fanart.jpg,https://www.netflix.com/search?q=Riverdale,1843
tt13660916,Código Emperador,2022,8/8/2022,"August 8, 2022",August 2022,August,,movie,Released,,3/18/2022,,3.811,N/A,92,Not Rated,Thriller,Thriller,106,,"Spanish, English","Spain, France",Not available,Not Available,"Follows Juan, an agent working for the intelligence services, who also reports to a parallel unit involved in illegal activities.","Follows Juan, an agent working for the intelligence services, who also reports to a parallel unit involved in illegal activities.","Luis Tosar, Alexandra Masangkay and Georgina Amorós","Luis Tosar, Alexandra Masangkay, Georgina Amorós",Luis Tosar,Alexandra Masangkay,Georgina Amorós,Juan,Wendy,Marta, directed by Jorge Coira.,"Código Emperador was produced by Vaca Films, Sábado Películas, and La Ley del Plomo AIE and was initially released on [datecalc date=""3/18/2022"" display=""mmmm d, yyyy""].",Jorge Coira,,"Vaca Films, Sábado Películas, La Ley del Plomo AIE",#,769636,/8VjVLMiPm598Kg6XmKk5m1fz0p7.jpg,/1U5zz2Jvt2L7hXHf1ZN1n74Zx8j.jpg,tt13660916-poster.jpg,tt13660916-fanart.jpg,https://www.netflix.com/search?q=Código Emperador,1844
tt18274176,Team Zenko Go,2022,8/8/2022,"August 8, 2022",August 2022,August,Netflix Original,series,Returning Series,1,3/15/2022,,1.483,7.8,33,TV-Y,Animation,"Animation, Family",N/A,24,"English, Spanish",United States,Not available,Not Available,"No good deed is too small for this kind kid squad. Niah, Ari, Ellie and Jax go undercover to help others and squash their town's problems in secret.","Every good deed is one for this team of kids. Niah, Ari, Ellie and Jax go undercover to help others and secretly solve the city's problems!,","Tabitha St. Germain, Dominic Mariche and Nakai Takawira","Tabitha St. Germain, Dominic Mariche, Nakai Takawira",,,,,,,.,"Team Zenko Go was produced by DreamWorks Pictures and was initially released on [datecalc date=""3/15/2022"" display=""mmmm d, yyyy""].",,,DreamWorks Pictures,https://www.netflix.com/title/81191979,158648,/xcRLjWjPMoQXRVd7M4BYAxJrMhy.jpg,/aBoM26f99PzgX0akDbYxZXIMWVn.jpg,tt18274176-poster.jpg,tt18274176-fanart.jpg,https://www.netflix.com/title/81191979,1845
tt3799694,The Nice Guys,2016,8/9/2022,"August 9, 2022",August 2022,August,,movie,Released,,5/20/2016,,26.064,7.3,"316,670",R,Action,"Action, Comedy, Crime",116,,"English, German",United States,50000000,Not Available,"In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.",A private eye investigates the apparent suicide of a fading porn star in 1970s Los Angeles and uncovers a conspiracy.,"Russell Crowe, Ryan Gosling and Angourie Rice","Russell Crowe, Ryan Gosling, Angourie Rice",Ryan Gosling,Russell Crowe,Angourie Rice,Holland March,Jackson Healy,Holly March, directed by Shane Black.,"The Nice Guys was produced by Warner Bros. Pictures, Silver Pictures, Waypoint Entertainment, Bloom, Nice Guys, and Misty Mountains, with a budget of [morph money=""50000000"" display=""usd abbr""] and was initially released on [datecalc date=""5/20/2016"" display=""mmmm d, yyyy""].",Shane Black,,"Warner Bros. Pictures, Silver Pictures, Waypoint Entertainment, Bloom, Nice Guys, Misty Mountains",http://www.warnerbros.com/nice-guys,290250,/clq4So9spa9cXk3MZy2iMdqkxP2.jpg,/q4mDG8YipONbKgFMJPgwNesixD4.jpg,tt3799694-poster.jpg,tt3799694-fanart.jpg,https://www.netflix.com/search?q=The Nice Guys,1846
tt21332800,School Tales the Series,2022,8/10/2022,"August 10, 2022",August 2022,August,,series,,,8/10/2022,,,N/A,N/A,Not Rated,Horror,"Horror, Mystery",N/A,,Thai,Thailand,Not available,Not Available,Unspeakable horrors roam the halls of high school in this anthology featuring ghost stories directed by seasoned Thai horror directors.,,"Kay Lertsittichai, Suppapong Udomkaewkanjana and Wachirawit Ruangwiwat","Kay Lertsittichai, Suppapong Udomkaewkanjana, Wachirawit Ruangwiwat",,,,,,,.,,,,,#,,,,poster-coming-soon.jpg,fanart-placeholder.jpg,https://www.netflix.com/search?q=School Tales the Series,1852
tt12580168,Indian Matchmaking,2020,8/10/2022,"August 10, 2022",August 2022,August,Netflix Original,series,Returning Series,2,7/16/2020,,5.048,6.2,"3,089",TV-14,Documentary,"Documentary, Reality-TV, Romance",N/A,14,Hindi,"United States, India, United Kingdom",Not available,Not Available,"Matchmaker Sima Taparia guides clients in the U.S. and India in the arranged marriage process, offering an inside look at the custom in a modern era.","Matchmaker Sima Taparia guides clients in the U.S. and India in the arranged marriage process, offering an inside look at the custom in a modern era.","Sima Taparia, Aparna Shewakramani and Vyasar M. Ganesan","Sima Taparia, Aparna Shewakramani, Vyasar M. Ganesan",,,,,,,.,,,,,https://www.netflix.com/title/80244565,105689,null,/jJf0lus0meGUHpH9K2OxSfRpE61.jpg,poster-coming-soon.jpg,tt12580168-fanart.jpg,https://www.netflix.com/title/80244565,1848
tt19113328,Iron Chef: Brasil,2022,8/10/2022,"August 10, 2022",August 2022,August,Netflix Original,series,Returning Series,1,8/10/2022,,3.01,N/A,N/A,Not Rated,Game-Show,"Game-Show, Reality-TV",N/A,3,Portuguese,"United States, Brazil",Not available,Not Available,"With this new approach, the legendary format of gastronomic competition is reborn, highlighting the diversity of Brazilian cuisine.",Rising culinary talents battle Brazil’s best chefs to be named Iron Legend in this exhilarating competition hosted by Fernanda Souza and Andressa Cabral.,Fernanda Souza,Fernanda Souza,Fernanda Souza,Andressa Cabral,,Self - Host,Self - Host,,.,,,,,https://www.netflix.com/title/81487754,205793,/xXwZruNz8qFkDDVtMTpzswWMRuq.jpg,/kg0OAkvVaur9u6ZATS4dtkRz5X.jpg,tt19113328-poster.jpg,tt19113328-fanart.jpg,https://www.netflix.com/title/81487754,1850
tt21107788,Instant Dream Home,2022,8/10/2022,"August 10, 2022",August 2022,August,Netflix Original,series,Returning Series,1,8/10/2022,,4.364,N/A,N/A,TV-G,Reality-TV,Reality-TV,N/A,6,English,United States,Not available,Not Available,A team of rapid-fire renovators takes big risks and makes painstaking plans to transform families' homes from top to bottom in just 12 hours.,A team of rapid-fire renovators takes big risks and makes painstaking plans to transform families' homes from top to bottom in just 12 hours.,Danielle Brooks,Danielle Brooks,Danielle Brooks,,,Self - Host,,,.,"Instant Dream Home was produced by Critical Content and was initially released on [datecalc date=""8/10/2022"" display=""mmmm d, yyyy""].",,,Critical Content,https://www.netflix.com/title/81032737,206075,/tBzQZIa5qqn8pDcakGO9At9f92d.jpg,/tUnVUa31D8bryXmMMY0Pvj83bTQ.jpg,tt21107788-poster.jpg,tt21107788-fanart.jpg,https://www.netflix.com/title/81032737,1849
tt21281774,Los Ladrones: la verdadera historia del robo del siglo,2022,8/10/2022,"August 10, 2022",August 2022,August,Netflix Original,movie,In Production,,8/10/2022,,7.265,N/A,N/A,Not Rated,Documentary,"Documentary, Crime",109,,Spanish,Argentina,Not available,Not Available,No plot has been announced.,"Through candid interviews, the perpetrators of Argentina's most notorious bank heist detail how — and why — they carried out the radical 2006 operation.",,,,,,,,, directed by Matías Gueilburt.,,Matías Gueilburt,,,https://www.netflix.com/title/81248392,1000194,/1qkIyRyXsrXaear1OdJd0QWaAkC.jpg,/xqTc54YIIL0fkMFDnu51C9Jd7FQ.jpg,tt21281774-poster.jpg,tt21281774-fanart.jpg,https://www.netflix.com/title/81248392,1847
tt3007572,Locke & Key,2020,8/10/2022,"August 10, 2022",August 2022,August,Netflix Original,series,Returning Series,3,2/7/2020,Popular,53.261,7.4,"75,219",TV-14,Drama,"Drama, Fantasy, Horror",48,21,English,"Canada, United States",Not available,Not Available,"After their father is murdered under mysterious circumstances, the three Locke siblings and their mother move into their ancestral home, Keyhouse, which they discover is full of magical keys that may be connected to their father's...","Three siblings who move into their ancestral estate after their father's gruesome murder discover their new home's magical keys, which must be used in their stand against an evil creature who wants the keys and their powers.","Darby Stanchfield, Connor Jessup and Emilia Jones","Darby Stanchfield, Connor Jessup, Emilia Jones",Darby Stanchfield,Emilia Jones,Jackson Robert Scott,Nina Locke,Kinsey Locke,Bode Locke," created by Carlton Cuse, Meredith Averill, Aron Eli Coleite.","Locke & Key was produced by Circle of Confusion, IDW Entertainment, and Genre Arts and was initially released on [datecalc date=""2/7/2020"" display=""mmmm d, yyyy""].",,"Carlton Cuse, Meredith Averill, Aron Eli Coleite","Circle of Confusion, IDW Entertainment, Genre Arts",https://www.netflix.com/title/80241239,86423,null,/nYxqUQaYGUv3pgMfe9BQ2WtUMQu.jpg,poster-coming-soon.jpg,tt3007572-fanart.jpg,https://www.netflix.com/title/80241239,1851
tt21100124,Stay on Board: The Leo Baker Story,2022,8/11/2022,"August 11, 2022",August 2022,August,,movie,Released,,8/11/2022,,1.4,N/A,N/A,Not Rated,Documentary,Documentary,72,,N/A,United States,Not available,Not Available,"Follows celebrated competitive skating icon Leo Baker as they try to make space for themselves in the gendered world of pro sports and build a more inclusive skate culture, which leads him to doing the punkest thing imaginable.","A raw and immersive feature exploring gender identity and the skate world, as seen through the lens of celebrated competitive skating icon Leo Baker, who in 2020 resigned from the U.S. Women’s Olympic Skateboarding Team and transitioned publicly after trying and failing to lead a double life — one for the sponsors and one for himself. The film follows Leo as they try to make space for themself in the gendered world of pro sports and build a more inclusive skate culture, which leads him to doing the punkest thing imaginable — turning down the Olympics.",Leo Baker,Leo Baker,Leo Baker,,,,,," directed by Nicola Marsh, Giovanni Reda.",,"Nicola Marsh, Giovanni Reda",,,#,990873,null,null,poster-coming-soon.jpg,fanart-placeholder.jpg,https://www.netflix.com/search?q=Stay on Board: The Leo Baker Story,1855
tt14069590,Dota: Dragon's Blood,2021,8/11/2022,"August 11, 2022",August 2022,August,Netflix Original,series,Returning Series,3,3/25/2021,,35.275,7.8,"17,738",TV-MA,Animation,"Animation, Action, Adventure",25,17,English,United States,Not available,Not Available,"After encounters with a dragon and a princess on her own mission, a Dragon Knight becomes embroiled in events larger than he could have ever imagined.","After encounters with a dragon and a princess on her own mission, a Dragon Knight becomes embroiled in events larger than he could have ever imagined.","Yuri Lowenthal, Lara Pulver and Dee Bradley Baker","Yuri Lowenthal, Lara Pulver, Dee Bradley Baker",Lara Pulver,Tony Todd,Yuri Lowenthal,Mirana (voice),Slyrak (voice),Davion (voice), created by Ashley Edward Miller.,"Dota: Dragon's Blood was produced by Studio Mir, and Kaiju Boulevard and was initially released on [datecalc date=""3/25/2021"" display=""mmmm d, yyyy""].",,Ashley Edward Miller,"Studio Mir, Kaiju Boulevard",https://www.netflix.com/title/80994336,118956,null,/ifGVUbvl36CnY9mp4kquK8In1Rh.jpg,poster-coming-soon.jpg,tt14069590-fanart.jpg,https://www.netflix.com/title/80994336,1854
tt3850214,Dope,2015,8/11/2022,"August 11, 2022",August 2022,August,,movie,Released,,6/19/2015,,18.19,7.2,"84,755",R,Adventure,"Adventure, Comedy, Crime",103,,"English, Spanish",United States,7000000,Not Available,"Life changes for Malcolm, a geek who's surviving life in a tough neighborhood, after a chance invitation to an underground party leads him and his friends into a Los Angeles adventure.","Malcolm is carefully surviving life in a tough neighborhood in Los Angeles while juggling college applications, academic interviews, and the SAT. A chance invitation to an underground party leads him into an adventure that could allow him to go from being a geek, to being dope, to ultimately being himself.","Shameik Moore, Tony Revolori and Kiersey Clemons","Shameik Moore, Tony Revolori, Kiersey Clemons",Shameik Moore,Kiersey Clemons,Tony Revolori,Malcolm Adekanbi,Cassandra 'Diggy' Andrews,James 'Jib' Caldones, directed by Rick Famuyiwa.,"Dope was produced by Significant Productions, Revolt Films, and IamOTHER Entertainment, with a budget of [morph money=""7000000"" display=""usd abbr""] and was initially released on [datecalc date=""6/19/2015"" display=""mmmm d, yyyy""].",Rick Famuyiwa,,"Significant Productions, Revolt Films, IamOTHER Entertainment",http://www.youaredope.com/,308639,/n6u00imN7AX2NiyWUc5kTgHXmEf.jpg,/AftACAlicRQWSnRsGcSQKP4K86m.jpg,tt3850214-poster.jpg,tt3850214-fanart.jpg,https://www.netflix.com/search?q=Dope,1853
tt21289712,A Model Family,2022,8/12/2022,"August 12, 2022",August 2022,August,,series,,,8/12/2022,,,N/A,N/A,Not Rated,Crime,"Crime, Drama, Thriller",N/A,,Korean,South Korea,Not available,Not Available,"After unwittingly stealing money from a cartel, a cash-strapped professor finds the only way to save his broken family is by working as a drug courier.",,"Park Ji-Yeon, Moon Jin-Seung and Woo Jung","Park Ji-Yeon, Moon Jin-Seung, Woo Jung",,,,,,,.,,,,,#,,,,poster-coming-soon.jpg,fanart-placeholder.jpg,https://www.netflix.com/search?q=A Model Family,1857
